feature,importance
cat__customer_city_boituva,3.5283864389881057
cat__customer_city_piraju,3.5185967980510373
cat__customer_city_ponta grossa,3.5169193584407785
cat__customer_city_paracatu,3.485086253469689
cat__customer_city_caete,3.4605094478836236
cat__customer_city_guarapari,3.457542130058974
cat__customer_city_rio do sul,3.446736227436013
cat__customer_city_bebedouro,3.4446002966083626
cat__customer_city_itajuba,3.4303613214176205
cat__customer_city_sao joao del rei,3.425676722112714
cat__customer_city_tubarao,3.4063236454331824
cat__favorite_category_market_place,3.4015490342757766
cat__customer_city_batatais,3.399056710389365
cat__customer_city_pinheiral,3.3892828952863248
cat__customer_city_januaria,3.372730682095005
cat__customer_city_simoes filho,3.3291477638187583
cat__customer_city_vitoria da conquista,3.289260480075649
cat__customer_city_penapolis,3.2810478638218266
cat__customer_city_coromandel,3.276186877031353
cat__customer_city_cambui,3.2736524288175235
cat__customer_city_ipatinga,3.2475692521319437
cat__customer_state_ES,3.2146736143584658
cat__customer_city_joao monlevade,3.2141473645485354
cat__customer_city_aparecida de goiania,3.2090268027204987
cat__customer_city_limeira,3.178723065718134
cat__customer_city_campina grande,3.1584682693986132
cat__customer_city_maringa,3.156927358158727
cat__customer_city_luziania,3.123189858129401
cat__customer_city_jequie,3.099338813165556
cat__customer_city_brasilia,3.0992264148503024
cat__customer_city_diadema,3.0780234949363656
cat__customer_city_lagoa santa,3.077964839677803
cat__customer_city_londrina,3.071395382274588
num__customer_zip_code_prefix,3.0713419084349076
cat__customer_city_tatui,3.042040938897557
cat__customer_city_lins,3.026138251768984
cat__customer_state_RS,3.019699621329047
cat__customer_city_itajai,3.010721598208926
cat__customer_city_teofilo otoni,3.0044059904177467
cat__customer_city_petropolis,2.9990296815578006
cat__customer_city_pirapora,2.9922476278964827
cat__customer_city_guarapuava,2.981535503093552
cat__customer_city_francisco morato,2.966739762364858
cat__customer_city_imbituba,2.9404675600277597
cat__customer_city_barra mansa,2.9328844869039012
cat__customer_city_goiania,2.9191632155994127
cat__customer_city_belem,2.9126710932009607
cat__customer_city_jales,2.910050340631337
cat__favorite_category_eletrodomesticos_2,2.8810721437327693
cat__customer_state_SC,2.8694644448190028
cat__customer_city_correia pinto,2.869255427987693
cat__customer_city_garanhuns,2.8691373406424248
cat__customer_city_florianopolis,2.841397119485484
cat__customer_city_cascavel,2.8410279790648327
cat__customer_city_passo fundo,2.816607830058766
cat__customer_city_itapira,2.810729696827523
cat__customer_city_araras,2.8080512792292796
cat__customer_city_teresopolis,2.7908813943438755
cat__customer_city_amparo,2.780134236928337
cat__customer_city_imperatriz,2.770901888992693
cat__customer_city_maceio,2.766147022506578
cat__favorite_category_cine_foto,2.760869982434178
cat__customer_city_recife,2.754898470931649
cat__customer_state_RJ,2.7487896190770713
cat__customer_city_rio claro,2.7458479416081634
cat__customer_city_santo amaro,2.7387845130323916
cat__customer_city_promissao,2.730486305724274
cat__customer_city_uberaba,2.7255530565605794
cat__customer_city_aracati,2.7077444409164286
cat__customer_city_curitiba,2.6839909309606766
cat__customer_city_coronel fabriciano,2.6724437659881626
cat__customer_city_rio branco,2.6701843068463194
cat__customer_city_sete lagoas,2.666472937039006
