modelis,cv_accuracy_mean,cv_f1_mean,cv_roc_auc_mean,test_accuracy,test_f1,test_roc_auc,best_params,seconds
Atsitiktinis miškas,0.9838499895664284,0.7959131160109868,0.867085084092777,0.9908883826879271,0.8943396226415095,0.9454245627661554,"{""model__max_depth"": null, ""model__min_samples_split"": 2, ""model__n_estimators"": 120}",88.03
XGBoost,0.956268872063893,0.1551534770403366,0.7860830332261288,0.9578587699316629,0.20795107033639143,0.8707048513378687,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6}",43.33
Logistinė regresija,0.7165814109001947,0.1697289991322129,0.7288355062755735,0.7092417832736739,0.18140174072377463,0.7710878992658005,"{""model__C"": 1.0, ""model__penalty"": ""l1""}",70.91
