feature,importance
cat__customer_city_aparecida de goiania,0.0
cat__customer_city_aparecida do taboado,0.0
cat__customer_city_aperibe,0.0
cat__customer_city_apiaca,0.0
cat__customer_city_apiuna,0.0
cat__customer_city_apodi,0.0
cat__customer_city_apora,0.0
cat__customer_city_apuarema,0.0
cat__customer_city_apucarana,0.0
cat__customer_city_aquidaba,0.0
cat__customer_city_aracaju,0.0
cat__customer_city_aracariguama,0.0
cat__customer_city_aracati,0.0
cat__customer_city_aracatuba,0.0
cat__customer_city_arace,0.0
cat__customer_city_araci,0.0
cat__customer_city_aracitaba,0.0
cat__customer_city_aracoiaba,0.0
cat__customer_city_aracoiaba da serra,0.0
cat__customer_city_aracruz,0.0
cat__customer_city_aracuai,0.0
cat__customer_city_aragarcas,0.0
cat__customer_city_araguacu,0.0
cat__customer_city_araguaina,0.0
cat__customer_city_araguari,0.0
cat__customer_city_araguatins,0.0
cat__customer_city_arandu,0.0
cat__customer_city_arapiraca,0.0
cat__customer_city_araponga,0.0
cat__customer_city_arapongas,0.0
cat__customer_city_arapora,0.0
cat__customer_city_arapoti,0.0
cat__customer_city_araputanga,0.0
cat__customer_city_araquari,0.0
cat__customer_city_arara,0.0
cat__customer_city_ararangua,0.0
cat__customer_city_araraquara,0.0
cat__customer_city_araras,0.0
cat__customer_city_arari,0.0
cat__customer_city_araripe,0.0
cat__customer_city_araripina,0.0
cat__customer_city_araruama,0.0
cat__customer_city_araruna,0.0
cat__customer_city_araucaria,0.0
cat__customer_city_araujos,0.0
cat__customer_city_araxa,0.0
cat__customer_city_arceburgo,0.0
cat__customer_city_arcos,0.0
cat__customer_city_arcoverde,0.0
cat__customer_city_areado,0.0
cat__customer_city_areal,0.0
cat__customer_city_areia branca,0.0
cat__customer_city_areial,0.0
cat__customer_city_areias,0.0
cat__customer_city_areiopolis,0.0
cat__customer_city_arembepe,0.0
cat__customer_city_arenapolis,0.0
cat__customer_city_arinos,0.0
cat__customer_city_aripuana,0.0
cat__customer_city_ariquemes,0.0
cat__customer_city_ariranha,0.0
cat__customer_city_armacao dos buzios,0.0
cat__customer_city_aroeiras,0.0
cat__customer_city_arraial d ajuda,0.0
cat__customer_city_arraial d'ajuda,0.0
cat__customer_city_arraias,0.0
cat__customer_city_arroio do meio,0.0
cat__customer_city_arroio do sal,0.0
cat__customer_city_arroio do tigre,0.0
cat__customer_city_arroio dos ratos,0.0
cat__customer_city_arrozal,0.0
cat__customer_city_artur nogueira,0.0
cat__customer_city_aruana,0.0
cat__customer_city_aruja,0.0
cat__customer_city_arvorezinha,0.0
cat__customer_city_assai,0.0
cat__customer_city_assis,0.0
cat__customer_city_assis chateaubriand,0.0
cat__customer_city_astolfo dutra,0.0
cat__customer_city_astorga,0.0
cat__customer_city_atalanta,0.0
cat__customer_city_ataleia,0.0
cat__customer_city_atibaia,0.0
cat__customer_city_augustinopolis,0.0
cat__customer_city_augusto correa,0.0
cat__customer_city_aurea,0.0
cat__customer_city_auriflama,0.0
cat__customer_city_aurora,0.0
cat__customer_city_avai,0.0
cat__customer_city_avanhandava,0.0
cat__customer_city_avare,0.0
cat__customer_city_avelar,0.0
cat__customer_city_avelino lopes,0.0
cat__customer_city_azurita,0.0
cat__customer_city_bacabal,0.0
cat__customer_city_bacaxa,0.0
cat__customer_city_bady bassitt,0.0
cat__customer_city_baependi,0.0
