feature,importance
cat__customer_city_aparecida de goiania,0.0006545392073112721
cat__customer_state_SE,0.0006507427098379436
cat__customer_city_vitoria,0.0006452609193970799
cat__customer_city_medeiros neto,0.0006438841415175748
cat__customer_city_bauru,0.0006423213260295491
cat__customer_city_sao borja,0.0006368301440969935
cat__customer_city_para de minas,0.0006318729726418441
cat__customer_city_atibaia,0.000631692411020915
cat__customer_city_antonio prado,0.0006259366648572053
cat__customer_city_campos dos goytacazes,0.0006216860493404911
cat__customer_state_AL,0.0006051238169275642
cat__customer_city_ponta grossa,0.0006018176216632542
cat__customer_city_barrinha,0.0006009079599022979
cat__customer_city_guaruja,0.0005992079835317998
cat__customer_city_torrinha,0.0005988753305309368
cat__customer_city_londrina,0.0005987554492058611
cat__favorite_category_construcao_ferramentas_construcao,0.00059790137287635
cat__customer_city_sao pedro dos ferros,0.0005975304126278893
cat__customer_city_belem,0.0005974203241471142
cat__customer_city_taboao da serra,0.0005929912017204503
cat__customer_city_chapeco,0.000592263002933568
cat__customer_city_varginha,0.0005902232662757192
cat__customer_city_paulinia,0.0005857944392999862
cat__customer_city_cachoeirinha,0.0005813731790016646
cat__customer_state_PB,0.0005805458297364289
cat__customer_city_montanha,0.0005783122658681315
cat__favorite_category_construcao_ferramentas_jardim,0.0005770428466590246
cat__customer_city_cantagalo,0.0005723903079532089
cat__customer_city_rio maria,0.0005703029968673057
cat__customer_city_jatoba,0.0005691609086434989
cat__customer_city_ponte nova,0.0005628634823213328
cat__customer_city_pedreira,0.0005619525689606747
cat__customer_city_nazare paulista,0.0005592138056220288
cat__customer_city_uberaba,0.0005572186122613921
cat__favorite_category_la_cuisine,0.0005503563271033209
cat__customer_city_ferraz de vasconcelos,0.0005477187425646812
cat__customer_city_nova venecia,0.0005467659596098018
cat__customer_city_jaiba,0.0005437473232572605
cat__customer_city_itanhaem,0.0005383117486475689
cat__customer_city_osorio,0.0005365099249533531
cat__customer_city_gravatai,0.0005343229189757441
cat__customer_city_estiva gerbi,0.0005336463564741568
cat__customer_city_paracatu,0.0005329878063073812
cat__customer_city_itapira,0.0005329112649000965
cat__customer_city_urbano santos,0.0005305318361524904
cat__customer_state_TO,0.0005261559000569298
cat__customer_city_caxias do sul,0.0005254652290642843
cat__customer_city_cianorte,0.0005220737136775597
cat__customer_city_erechim,0.0005195640545281787
cat__customer_city_jacutinga,0.0005194687251057642
cat__customer_city_serra,0.0005163344848330472
cat__customer_city_arroio dos ratos,0.0005157539882722088
cat__customer_city_mata de sao joao,0.0005149060866423342
cat__customer_city_batatais,0.0005147570579676234
cat__customer_city_xanxere,0.0005117225034002438
cat__customer_city_duque de caxias,0.0005113741799978752
cat__customer_city_ouro preto,0.0005063088479635569
cat__favorite_category_climatizacao,0.0005058958374808932
cat__customer_city_carapicuiba,0.0005039242233575301
cat__customer_city_sao jose do rio preto,0.0005037693098879784
