,total_orders,avg_order_value,total_spent,customer_recency_days,customer_tenure_days,avg_review_score,target_repeat_purchase_90d
total_orders,1.0,-0.01161076162158394,0.1184114306383012,-0.023853121535083916,0.5841572555401664,0.00877327517580334,0.04900824182880633
avg_order_value,-0.01161076162158394,1.0,0.9834853143791626,0.0009538633949734098,-0.00689028472060162,-0.046144095971432854,-0.005809677516176169
total_spent,0.1184114306383012,0.9834853143791626,1.0,-0.0029090733159333453,0.07197478602124638,-0.04420896156387813,0.0006746320976295156
customer_recency_days,-0.023853121535083916,0.0009538633949734098,-0.0029090733159333453,1.0,-0.05857783278082268,0.029261771014312023,-0.02020406420438955
customer_tenure_days,0.5841572555401664,-0.00689028472060162,0.07197478602124638,-0.05857783278082268,1.0,0.014882403608040377,0.04393623134527344
avg_review_score,0.00877327517580334,-0.046144095971432854,-0.04420896156387813,0.029261771014312023,0.014882403608040377,1.0,0.010341983236773362
target_repeat_purchase_90d,0.04900824182880633,-0.005809677516176169,0.0006746320976295156,-0.02020406420438955,0.04393623134527344,0.010341983236773362,1.0
